Mode,Frequency,Growth_Rate,Magnitude,Amplitude,Normalized_Amplitude
0,0.0010906801953817905,-4.4965566620101354e-07,0.9999932551877534,9.844149293500198,0.2206243838036884
1,-0.0010906801953817905,-4.4965566620101354e-07,0.9999932551877534,9.844149293500198,0.2206243838036884
2,0.0021441307329030167,-7.608162448897356e-05,0.9988594265815439,4.959888686335467,0.1111596698233908
3,-0.0021441307329030167,-7.608162448897356e-05,0.9988594265815439,4.959888686335461,0.11115966982339066
4,0.003238112341137234,-7.05536035789873e-05,0.998942255752551,2.5442252363310724,0.0570204807228958
5,-0.003238112341137234,-7.05536035789873e-05,0.998942255752551,2.54422523633107,0.05702048072289574
28,0.0,-0.0355713586901382,0.5865071732535434,0.9619520580938188,0.021559006648321343
18,0.0298118134257264,-0.0023750983478575873,0.9650006778406404,0.5032296677864482,0.0112782457942228
19,-0.0298118134257264,-0.0023750983478575873,0.9650006778406404,0.5032296677864423,0.011278245794222668
45,0.018240218160630147,-0.004851519382064654,0.9298120679475709,0.46836436286091954,0.010496854108056342
46,-0.018240218160630147,-0.004851519382064654,0.9298120679475709,0.46836436286091726,0.010496854108056291
22,0.027649142652187205,-0.00546682632256007,0.9212697524015261,0.38894378982343353,0.00871690192881618
23,-0.027649142652187205,-0.00546682632256007,0.9212697524015261,0.3889437898234244,0.008716901928815976
20,0.028310958701728377,-0.0021412657120140465,0.9683913505203291,0.3633670041768225,0.00814368199840651
21,-0.028310958701728377,-0.0021412657120140465,0.9683913505203291,0.3633670041768126,0.00814368199840629
14,0.03136813746086853,1.511214149306402e-05,1.0002267078167297,0.35162986917301103,0.007880632536169446
15,-0.03136813746086853,1.511214149306402e-05,1.0002267078167297,0.3516298691730093,0.007880632536169408
43,0.01765635179787196,-0.0017722058613589703,0.9737671321882391,0.27377050253757307,0.006135669688172934
44,-0.01765635179787196,-0.0017722058613589703,0.9737671321882391,0.27377050253756724,0.006135669688172803
36,-0.021376242796930615,-0.0015502518136605182,0.9770145082982761,0.22086958286479033,0.004950068732977925
35,0.021376242796930615,-0.0015502518136605182,0.9770145082982761,0.22086958286478003,0.004950068732977694
12,0.009270031157597164,0.0020517145797662208,1.0312541869141685,0.2084696679986,0.00467216522958655
13,-0.009270031157597164,0.0020517145797662208,1.0312541869141685,0.2084696679985969,0.00467216522958648
38,-0.020013234222367622,-0.0005695930394998045,0.9914924997570042,0.2079662606696152,0.0046608830020981
37,0.020013234222367622,-0.0005695930394998045,0.9914924997570042,0.20796626066961488,0.004660883002098093
16,0.032386644005790166,-0.004035460365553937,0.9412637370648638,0.20344751634964411,0.004559610139259836
17,-0.032386644005790166,-0.004035460365553937,0.9412637370648638,0.20344751634963784,0.004559610139259695
41,0.01591256096336211,-0.0023575237719499305,0.9652551035397999,0.20304015197598352,0.0045504804002399505
42,-0.01591256096336211,-0.0023575237719499305,0.9652551035397999,0.20304015197598188,0.004550480400239914
48,-0.013589700249593384,-0.033332080784056015,0.6065420554627785,0.20290158497148822,0.004547374874402133
47,0.013589700249593384,-0.033332080784056015,0.6065420554627785,0.20290158497147717,0.004547374874401886
9,-0.006354101838879091,-0.0017654335644041693,0.9738660568155161,0.1566663958500067,0.003511164450743786
8,0.006354101838879091,-0.0017654335644041693,0.9738660568155161,0.15666639585000494,0.003511164450743747
6,0.005431671549534861,-0.0025059014025465435,0.9631091585246503,0.13367295749232772,0.0029958417938088172
7,-0.005431671549534861,-0.0025059014025465435,0.9631091585246503,0.13367295749232525,0.0029958417938087617
29,0.011133306978281592,5.0392549022532096e-05,1.0007561739908453,0.1233052683717119,0.0027634839784702846
30,-0.011133306978281592,5.0392549022532096e-05,1.0007561739908453,0.12330526837171048,0.0027634839784702525
31,0.022830542286969683,-0.0006449808985018365,0.9903719360015835,0.09353034115128918,0.002096176446356484
32,-0.022830542286969683,-0.0006449808985018365,0.9903719360015835,0.0935303411512875,0.002096176446356446
26,0.024555362617328547,0.00021087034817732404,1.0031680629603557,0.08677265507576755,0.0019447250327401615
27,-0.024555362617328547,0.00021087034817732404,1.0031680629603557,0.08677265507576655,0.001944725032740139
11,-0.007858758606263708,-0.0013579214438653657,0.9798372214666469,0.08235754925795606,0.0018457748876904623
10,0.007858758606263708,-0.0013579214438653657,0.9798372214666469,0.08235754925794773,0.0018457748876902756
39,0.014343335127921897,0.0006591480717774475,1.0099362611370224,0.07942054331812366,0.0017799515131779347
40,-0.014343335127921897,0.0006591480717774475,1.0099362611370224,0.0794205433181226,0.0017799515131779109
33,0.012795764621131668,-0.00035405782420749784,0.9947032103602955,0.06562641965129738,0.001470801383149448
34,-0.012795764621131668,-0.00035405782420749784,0.9947032103602955,0.06562641965128962,0.0014708013831492741
24,0.0261885777828753,-0.00032428114406508055,0.9951475939848986,0.06315775775346628,0.0014154744073194242
25,-0.0261885777828753,-0.00032428114406508055,0.9951475939848986,0.0631577577534625,0.0014154744073193394
