Mode,Significance,Normalized_Amplitude,Magnitude
0,0.9999932551877534,1.0,0.9999932551877534
1,0.9999932551877534,1.0,0.9999932551877534
2,0.5032666024693941,0.5038412704295673,0.9988594265815439
3,0.5032666024693935,0.5038412704295666,0.9988594265815439
4,0.25817711830124607,0.25845049282328025,0.998942255752551
5,0.2581771183012458,0.25845049282328,0.998942255752551
28,0.05731239598027564,0.09771815008219831,0.5865071732535434
18,0.04933051663936886,0.051119670454278454,0.9650006778406404
19,0.049330516639368285,0.05111967045427786,0.9650006778406404
45,0.044238544520266446,0.04757794187154056,0.9298120679475709
46,0.04423854452026624,0.04757794187154033,0.9298120679475709
22,0.036399503732164586,0.039510147421295376,0.9212697524015261
23,0.03639950373216373,0.039510147421294446,0.9212697524015261
20,0.03574523845769549,0.036911976174187344,0.9683913505203291
21,0.03574523845769452,0.03691197617418634,0.9683913505203291
14,0.035727778594862605,0.035719680664044975,1.0002267078167297
15,0.03572777859486243,0.0357196806640448,1.0002267078167297
43,0.027080929919436128,0.027810478526401023,0.9737671321882391
44,0.027080929919435552,0.02781047852640043,0.9737671321882391
36,0.021920917741787,0.022436634825380393,0.9770145082982761
35,0.021920917741785978,0.022436634825379345,0.9770145082982761
12,0.021838882320701018,0.021177012028479332,1.0312541869141685
13,0.021838882320700692,0.021177012028479016,1.0312541869141685
38,0.020946145929804143,0.021125874310635374,0.9914924997570042
37,0.02094614592980411,0.02112587431063534,0.9914924997570042
41,0.0199088348901533,0.020625464519320624,0.9652551035397999
42,0.01990883489015314,0.020625464519320458,0.9652551035397999
16,0.019452952594113063,0.02066684588824496,0.9412637370648638
17,0.019452952594112467,0.020666845888244325,0.9412637370648638
9,0.015498757750726474,0.015914670854641436,0.9738660568155161
8,0.015498757750726302,0.01591467085464126,0.9738660568155161
6,0.013077986301258292,0.01357892424290924,0.9631091585246503
7,0.01307798630125805,0.013578924242908989,0.9631091585246503
29,0.012535213041726743,0.0125257414018626,1.0007561739908453
30,0.012535213041726598,0.012525741401862456,1.0007561739908453
48,0.012501673911682797,0.020611388442214926,0.6065420554627785
47,0.012501673911682118,0.020611388442213805,0.6065420554627785
31,0.00940963228808929,0.009501109579173541,0.9903719360015835
32,0.00940963228808912,0.00950110957917337,0.9903719360015835
26,0.008842567672938458,0.008814642331060642,1.0031680629603557
27,0.008842567672938355,0.00881464233106054,1.0031680629603557
11,0.008197457172353128,0.008366141837399229,0.9798372214666469
10,0.008197457172352299,0.008366141837398382,0.9798372214666469
39,0.008147955113717834,0.008067791431257824,1.0099362611370224
40,0.008147955113717723,0.008067791431257715,1.0099362611370224
33,0.006631229206844635,0.006666540469335281,0.9947032103602955
34,0.006631229206843851,0.006666540469334493,0.9947032103602955
24,0.006384634039565197,0.006415765940807856,0.9951475939848986
25,0.006384634039564813,0.0064157659408074705,0.9951475939848986
