Mode,Frequency,Growth_Rate,Magnitude,Amplitude,Normalized_Amplitude
0,0.0,3.415628743869665e-05,1.000512475582345,424.7213429626615,0.7248654415318714
2,-0.0027562682343953235,-3.806351368024948e-05,0.9994292102572758,22.589634424299287,0.03855338471288642
1,0.0027562682343953235,-3.806351368024948e-05,0.9994292102572758,22.58963442429913,0.03855338471288615
4,-0.005578682102963011,-0.00018898936021634986,0.9971691739625527,19.969639708452654,0.03408187967086102
3,0.005578682102963011,-0.00018898936021634986,0.9971691739625527,19.969639708452128,0.03408187967086012
6,-0.00837729709839512,-0.0008762262727669816,0.9869426031351682,9.261118519821151,0.015805809800190133
5,0.00837729709839512,-0.0008762262727669816,0.9869426031351682,9.26111851982088,0.01580580980018967
7,0.011251683403404593,-0.0018773867038145541,0.9722320187807939,6.43370646911164,0.010980308754648702
8,-0.011251683403404593,-0.0018773867038145541,0.9722320187807939,6.433706469111474,0.01098030875464842
9,0.014071004606218759,-0.002234681659527951,0.9670353528471599,4.638055353961607,0.007915698369540616
10,-0.014071004606218759,-0.002234681659527951,0.9670353528471599,4.638055353961567,0.007915698369540548
12,-0.016923306082559004,-0.0026014567012541067,0.9617296946239944,4.284745334594479,0.0073127095453865585
11,0.016923306082559004,-0.0026014567012541067,0.9617296946239944,4.284745334594323,0.007312709545386292
14,-0.01980307259638715,-0.0031049736031098056,0.9544933488473403,3.488316954930598,0.005953457370662849
13,0.01980307259638715,-0.0031049736031098056,0.9544933488473403,3.4883169549305886,0.005953457370662833
15,0.022689543949655094,-0.0029045518648084835,0.9573671847693926,3.4821693754581173,0.005942965390491597
16,-0.022689543949655094,-0.0029045518648084835,0.9573671847693926,3.4821693754580796,0.005942965390491532
17,0.02566803170465841,-0.003143755664873745,0.953938252021366,2.45887314986557,0.004196521321521771
18,-0.02566803170465841,-0.003143755664873745,0.953938252021366,2.4588731498653975,0.004196521321521477
21,0.028782220185399422,-0.0027359213425019882,0.9597918699721926,2.2073591886805355,0.0037672662780759143
22,-0.028782220185399422,-0.0027359213425019882,0.9597918699721926,2.2073591886804342,0.0037672662780757413
20,-0.03173230863242333,-0.0028676232937332046,0.9578976447062036,1.7913548528890757,0.0030572780198000423
19,0.03173230863242333,-0.0028676232937332046,0.9578976447062036,1.7913548528890753,0.0030572780198000415
