Mode,Significance,Normalized_Amplitude,Magnitude
0,1.000512475582345,1.0,1.000512475582345
2,0.05315659518119106,0.05318695374883765,0.9994292102572758
1,0.053156595181190695,0.05318695374883728,0.9994292102572758
4,0.046885115293483486,0.04701821568267231,0.9971691739625527
3,0.04688511529348225,0.04701821568267107,0.9971691739625527
6,0.0215204452786333,0.021805163958137426,0.9869426031351682
5,0.021520445278632668,0.021805163958136788,0.9869426031351682
7,0.014727433721778762,0.015148064903527221,0.9722320187807939
8,0.014727433721778382,0.015148064903526829,0.9722320187807939
9,0.010560249843948214,0.010920231419520051,0.9670353528471599
10,0.010560249843948122,0.010920231419519956,0.9670353528471599
12,0.009702283368753149,0.010088368304512457,0.9617296946239944
11,0.009702283368752796,0.01008836830451209,0.9617296946239944
15,0.00784918099151332,0.008198715306294945,0.9573671847693926
16,0.007849180991513235,0.008198715306294856,0.9573671847693926
14,0.007839434931447219,0.008213189689497817,0.9544933488473403
13,0.007839434931447198,0.008213189689497797,0.9544933488473403
17,0.005522710815903692,0.005789379767716869,0.953938252021366
18,0.005522710815903304,0.005789379767716463,0.953938252021366
21,0.004988224487673665,0.0051971939372837,0.9597918699721926
22,0.004988224487673436,0.005197193937283462,0.9597918699721926
20,0.0040401421375386975,0.004217717999273135,0.9578976447062036
19,0.004040142137538697,0.004217717999273134,0.9578976447062036
