Mode,Frequency,Growth_Rate,Magnitude,Amplitude,Normalized_Amplitude
65,0.5525282675099684,0.270266456725101,1.1462528265169276,747.460549144843,0.023586417711456312
66,-0.5525282675099684,0.270266456725101,1.1462528265169276,747.4605491384075,0.02358641771125324
69,0.5285255205531768,0.26004570950721334,1.1403511222107916,717.0628356507502,0.02262720565837188
70,-0.5285255205531768,0.26004570950721334,1.1403511222107916,717.0628356457934,0.022627205658215466
61,0.5761363860251563,0.2761343413645057,1.149654874919584,714.4773443410019,0.022545619442094867
62,-0.5761363860251563,0.2761343413645057,1.149654874919584,714.4773443338825,0.022545619441870213
14,0.17790918789340768,0.318725158039349,1.1746524328872725,690.7724021130115,0.021797600473261
15,-0.17790918789340768,0.318725158039349,1.1746524328872725,690.7724021066027,0.02179760047305877
10,0.15420846910381206,0.31890299236525854,1.1747579394048384,688.8089948739571,0.021735644369582998
11,-0.15420846910381206,0.31890299236525854,1.1747579394048384,688.8089948666743,0.02173564436935319
96,0.22226389682407222,-5.36268401404808,0.06664160013905979,688.380123157344,0.02172211115038603
97,-0.22226389682407222,-5.36268401404808,0.06664160013905979,688.3801231466139,0.021722111150047435
0,0.13039631786852496,0.3159496145512522,1.1730069708409898,655.9696297067604,0.020699385017703208
1,-0.13039631786852496,0.3159496145512522,1.1730069708409898,655.9696296984789,0.020699385017441882
16,0.20151725882722146,0.3159241209375316,1.1729918678136717,651.1059554144119,0.020545909822787502
17,-0.20151725882722146,0.3159241209375316,1.1729918678136717,651.1059554086634,0.020545909822606106
59,0.5995647598965547,0.2786679525881174,1.151126916781993,638.1201855704572,0.020136138641960948
60,-0.5995647598965547,0.2786679525881174,1.151126916781993,638.1201855634149,0.020136138641738723
83,0.5033201016350835,0.24779134506505307,1.1333152012990562,613.3607472525572,0.019354844625661147
84,-0.5033201016350835,0.24779134506505307,1.1333152012990562,613.3607472499813,0.019354844625579865
20,0.22499046295396308,0.31085106172568727,1.1699903322250866,583.590649632911,0.018415437243463992
21,-0.22499046295396308,0.31085106172568727,1.1699903322250866,583.5906496276707,0.01841543724329863
2,0.10641541114231162,0.3099434489654068,1.169454142926997,579.9460753243532,0.018300431237969206
3,-0.10641541114231162,0.3099434489654068,1.169454142926997,579.9460753148584,0.018300431237669595
55,0.6228548371279725,0.2782764402307492,1.1508993229140916,549.8365105199615,0.017350311832471422
56,-0.6228548371279725,0.2782764402307492,1.1508993229140916,549.8365105135802,0.017350311832270055
33,0.24833042975564074,0.30369248422805106,1.1657679361729485,491.2481191704254,0.015501531621939336
34,-0.24833042975564074,0.30369248422805106,1.1657679361729485,491.2481191658412,0.015501531621794679
4,0.08232327826329369,0.3008101032813925,1.1640721065361024,454.2114628674486,0.014332825063182382
5,-0.08232327826329369,0.3008101032813925,1.1640721065361024,454.2114628573134,0.014332825062862561
49,0.6460850172623297,0.2750056095267621,1.148999681861011,439.2404550244044,0.013860408900280514
50,-0.6460850172623297,0.2750056095267621,1.148999681861011,439.24045501905937,0.01386040890011185
51,0.27159838652091683,0.2946116734594575,1.1604336534913369,382.69024405895016,0.012075944290036967
52,-0.27159838652091683,0.2946116734594575,1.1604336534913369,382.69024405515864,0.012075944289917323
77,0.4777493558788475,0.2457934937279126,1.1321722450515916,374.5814651653119,0.011820068516614534
78,-0.4777493558788475,0.2457934937279126,1.1321722450515916,374.58146516509083,0.011820068516607558
22,0.9547961035724504,0.2968013197826126,1.1617176660116286,320.0805497148817,0.0101002702490788
23,-0.9547961035724504,0.2968013197826126,1.1617176660116286,320.0805497132622,0.010100270249027696
6,0.058149412582252195,0.2872921917199497,1.1561517884583592,316.6761157534777,0.009992841968647663
7,-0.058149412582252195,0.2872921917199497,1.1561517884583592,316.67611574414843,0.009992841968353275
25,0.9313435256471626,0.2898371415577547,1.1576387783869266,310.56048047518505,0.009799860642195374
26,-0.9313435256471626,0.2898371415577547,1.1576387783869266,310.5604804735513,0.00979986064214382
45,0.6692595301923255,0.26843999444680394,1.1451959466053165,307.561493970207,0.00970522641902686
46,-0.6692595301923255,0.26843999444680394,1.1451959466053165,307.5614939661568,0.009705226418899053
18,0.9782583844095364,0.3000183612596228,1.163606722415519,299.13624249427255,0.009439364226215738
19,-0.9782583844095364,0.3000183612596228,1.163606722415519,299.1362424935169,0.009439364226191892
57,0.29487861999501436,0.28333888830158194,1.1538456980729621,274.85428197826445,0.008673137213647783
58,-0.29487861999501436,0.28333888830158194,1.1538456980729621,274.8542819754506,0.008673137213558989
94,0.7348474319424176,-5.279913207315221,0.06948649707505267,257.95959797166904,0.008140018677106262
95,-0.7348474319424176,-5.279913207315221,0.06948649707505267,257.95959795659576,0.008140018676630618
27,0.9077648865546706,0.27826301828397765,1.1508915212690942,250.25553881102442,0.007896913997341387
28,-0.9077648865546706,0.27826301828397765,1.1508915212690942,250.2555388097164,0.00789691399730011
93,0.0,-0.24698356614830846,0.882727110016605,245.17221436882804,0.007736507653764227
72,-0.4536450745472735,0.24507194697684587,1.1317597367818821,233.05622554350217,0.007354182762171727
71,0.4536450745472735,0.24507194697684587,1.1317597367818821,233.0562255434443,0.007354182762169901
24,0.0,-0.0013272243643509662,0.9993299092756042,230.77362258507787,0.0072821543094214155
8,0.033945191646285074,0.2674729330871203,1.1446367524943524,206.006095421099,0.006500605046336167
9,-0.033945191646285074,0.2674729330871203,1.1446367524943524,206.00609541405643,0.006500605046113936
47,0.6924577125152853,0.25621622290714235,1.1381477186604234,188.72599546563436,0.0059553245547950325
48,-0.6924577125152853,0.25621622290714235,1.1381477186604234,188.7259954629406,0.005955324554710029
63,0.31826796700401805,0.26844682337480774,1.1451998963397387,179.85236960903822,0.005675313728393145
64,-0.31826796700401805,0.26844682337480774,1.1451998963397387,179.8523696072152,0.005675313728335619
89,0.3599545384540007,0.0621154069830084,1.031868686983225,177.29621155919824,0.005594653134908974
90,-0.3599545384540007,0.0621154069830084,1.031868686983225,177.29621155794507,0.00559465313486943
73,0.430295872423957,0.2387462376707461,1.1281497573982882,173.04135269875192,0.005460389355368242
74,-0.430295872423957,0.2387462376707461,1.1281497573982882,173.04135269790288,0.00546038935534145
29,0.8835572521687308,0.260083071385483,1.140372640423818,168.44757042789306,0.005315430711544267
30,-0.8835572521687308,0.260083071385483,1.140372640423818,168.44757042709296,0.00531543071151902
35,0.8563865959469331,0.24757733052087336,1.1331927099715213,130.0851247769579,0.004104888337647477
36,-0.8563865959469331,0.24757733052087336,1.1331927099715213,130.0851247761414,0.004104888337621712
81,0.36654392634520794,0.22170366639605668,1.118481037935879,129.9680032746154,0.0041011925216202574
82,-0.36654392634520794,0.22170366639605668,1.118481037935879,129.9680032732281,0.004101192521576481
31,0.831801803664751,0.2521308299787026,1.1358017656687482,128.2314222492969,0.004046394010180674
32,-0.831801803664751,0.2521308299787026,1.1358017656687482,128.23142224824318,0.004046394010147423
67,0.34202935569325055,0.24728073524244046,1.1330229754081533,119.30546281087894,0.0037647317765940216
68,-0.34202935569325055,0.24728073524244046,1.1330229754081533,119.305462809677,0.0037647317765560936
98,0.0,-3.301749638474415,0.18870877553636156,117.65231213020117,0.003712565943174379
75,0.407824363274227,0.22342948724064732,1.1194563608568893,114.74034001192689,0.003620677493911993
76,-0.407824363274227,0.22342948724064732,1.1194563608568893,114.74034001038038,0.003620677493863192
53,0.7165626990552816,0.23375650563049544,1.125310324060117,102.50247047636053,0.003234506607576372
54,-0.7165626990552816,0.23375650563049544,1.125310324060117,102.50247047485317,0.003234506607528806
37,0.808864242754589,0.24883809996227735,1.1339145027486952,99.77795484982357,0.0031485334231689654
38,-0.808864242754589,0.24883809996227735,1.1339145027486952,99.77795484881804,0.0031485334231372356
12,0.010677559505814473,0.2427023186427391,1.1304060772945916,94.22444859198582,0.002973290303635221
13,-0.010677559505814473,0.2427023186427391,1.1304060772945916,94.22444858733772,0.0029732903034885485
79,0.3879843152352734,0.2086109379870382,1.1111094932584966,74.50538108669485,0.002351047211886348
80,-0.3879843152352734,0.2086109379870382,1.1111094932584966,74.50538108592028,0.0023510472118619063
43,0.7433546049314398,0.22876652018418997,1.1224778936166988,66.66446800110464,0.002103624051577031
44,-0.7433546049314398,0.22876652018418997,1.1224778936166988,66.66446800015893,0.002103624051547189
39,0.7869192133352915,0.24066823499756332,1.1292453905041346,61.91222362010927,0.001953665072249873
40,-0.7869192133352915,0.24066823499756332,1.1292453905041346,61.91222361919999,0.0019536650722211803
41,0.7656617771657759,0.2337436395493903,1.1253030117940273,52.50568102657076,0.0016568378442635412
42,-0.7656617771657759,0.2337436395493903,1.1253030117940273,52.50568102565634,0.0016568378442346863
91,0.5013778218070646,0.0633773330695031,1.0325265440808848,31.339605966701495,0.000988933848199432
92,-0.5013778218070646,0.0633773330695031,1.0325265440808848,31.339605966553012,0.0009889338481947464
85,0.7261288231389669,0.13436153621541735,1.0702147847330734,15.65105457757191,0.0004938753106284371
86,-0.7261288231389669,0.13436153621541735,1.0702147847330734,15.6510545773109,0.0004938753106202008
88,-0.8676175439485501,0.13643690781659465,1.0713371371659623,2.561207487590434,8.081993051958563e-05
87,0.8676175439485501,0.13643690781659465,1.0713371371659623,2.561207487534227,8.0819930517812e-05
