Mode,Significance,Normalized_Amplitude,Magnitude
65,1.1462528265169276,1.0,1.1462528265169276
66,1.1462528265070586,0.9999999999913902,1.1462528265169276
61,1.0989240340255866,0.9558729824047882,1.149654874919584
62,1.0989240340146365,0.9558729823952635,1.149654874919584
69,1.0939753412611624,0.9593320162129356,1.1403511222107916
70,1.0939753412536002,0.959332016206304,1.1403511222107916
14,1.085565631044693,0.924159011339545,1.1746524328872725
15,1.0855656310346216,0.924159011330971,1.1746524328872725
10,1.082577316471647,0.9215322409483844,1.1747579394048384
11,1.0825773164602008,0.921532240938641,1.1747579394048384
0,1.0294281740840177,0.8775976611170239,1.1730069708409898
1,1.0294281740710212,0.8775976611059443,1.1730069708409898
16,1.021782342439264,0.8710907300182348,1.1729918678136717
17,1.0217823424302428,0.871090730010544,1.1729918678136717
59,0.9827372462566331,0.8537175457628096,1.151126916781993
60,0.9827372462457875,0.8537175457533879,1.151126916781993
83,0.9299902978648962,0.8205928031309384,1.1333152012990562
84,0.9299902978609905,0.8205928031274922,1.1333152012990562
20,0.9134868975073512,0.7807644835578108,1.1699903322250866
21,0.9134868974991488,0.7807644835508001,1.1699903322250866
2,0.9073660693373817,0.7758885415261845,1.169454142926997
3,0.9073660693225264,0.7758885415134817,1.169454142926997
55,0.8466085178607134,0.7356060612817896,1.1508993229140916
56,0.8466085178508879,0.7356060612732523,1.1508993229140916
33,0.7661692736684826,0.6572228055814506,1.1657679361729485
34,0.7661692736613329,0.6572228055753175,1.1657679361729485
4,0.7073749845364712,0.6076728241873157,1.1640721065361024
5,0.7073749845206869,0.6076728241737562,1.1640721065361024
49,0.6752023817991872,0.5876436629691454,1.148999681861011
50,0.6752023817909708,0.5876436629619944,1.148999681861011
51,0.5941271931701156,0.5119872139028335,1.1604336534913369
52,0.5941271931642294,0.511987213897761,1.1604336534913369
77,0.5673754138009302,0.5011387766135139,1.1321722450515916
78,0.5673754138005953,0.5011387766132182,1.1321722450515916
22,0.4974753912777217,0.42822400470644306,1.1617176660116286
23,0.4974753912752046,0.42822400470427635,1.1617176660116286
6,0.48982606240464166,0.42366933762026837,1.1561517884583592
7,0.4898260623902115,0.42366933760778713,1.1561517884583592
25,0.48098438859932796,0.4154874539271565,1.1576387783869266
26,0.48098438859679765,0.4154874539249708,1.1576387783869266
45,0.47121975417903117,0.4114752200929974,1.1451959466053165
46,0.47121975417282574,0.4114752200875788,1.1451959466053165
18,0.46567935001075755,0.4002033857659903,1.163606722415519
19,0.4656793500095812,0.4002033857649793,1.163606722415519
57,0.42428918987147507,0.3677174431382641,1.1538456980729621
58,0.4242891898671314,0.36771744313449956,1.1538456980729621
27,0.3853273301149501,0.33480768864301613,1.1508915212690942
28,0.385327330112936,0.33480768864126614,1.1508915212690942
72,0.35287969750144077,0.311797359486247,1.1317597367818821
71,0.3528796975013531,0.31179735948616955,1.1317597367818821
8,0.315471028305943,0.2756079844706013,1.1446367524943524
9,0.3154710282951582,0.2756079844611793,1.1446367524943524
24,0.308536662684065,0.3087435488723814,0.9993299092756042
93,0.2895405790897858,0.32800689568074926,0.882727110016605
47,0.28737043237516147,0.25248957377289355,1.1381477186604234
48,0.28737043237105975,0.2524895737692897,1.1381477186604234
63,0.2755555664688527,0.2406178758394731,1.1451998963397387
64,0.27555556646605966,0.24061787583703417,1.1451998963397387
73,0.2611730616288881,0.23150566661575064,1.1281497573982882
74,0.2611730616276066,0.23150566661461475,1.1281497573982882
29,0.2569941662895838,0.22535981413415207,1.140372640423818
30,0.25699416628836314,0.22535981413308165,1.140372640423818
89,0.2447572774750398,0.23719808592177855,1.031868686983225
90,0.2447572774733098,0.23719808592010197,1.031868686983225
35,0.19721644873650584,0.174036107893301,1.1331927099715213
36,0.19721644873526797,0.17403610789220864,1.1331927099715213
31,0.1948537297006468,0.171556107403935,1.1358017656687482
32,0.19485372969904557,0.17155610740252525,1.1358017656687482
81,0.19448082894456062,0.17387941533945786,1.118481037935879
82,0.1944808289424847,0.17387941533760184,1.118481037935879
67,0.1808467759416617,0.15961439429462104,1.1330229754081533
68,0.18084677593983978,0.15961439429301302,1.1330229754081533
75,0.17184425802831685,0.1535068842672692,1.1194563608568893
76,0.17184425802600067,0.15350688426520018,1.1194563608568893
53,0.1543186304624137,0.13713428834957495,1.125310324060117
54,0.15431863046014438,0.1371342883475583,1.125310324060117
